"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4669","second test to validate the playwirght locators","chromium","2026-08-16","passed","2026-08-16","","mytest.spec.ts","",""
"","2489","First Test Case Creation","chromium","2026-08-16","passed","2026-08-16","","mytest.spec.ts","",""
"","1413","homepage test","webkit","2026-08-20","passed","2026-08-20","","playwrightPageTests.spec.ts","",""
"","1607","homepage test","firefox","2026-08-20","passed","2026-08-20","","playwrightPageTests.spec.ts","",""
"","1612","homepage test","chromium","2026-08-20","passed","2026-08-20","","playwrightPageTests.spec.ts","",""
"","1104","what is next links","webkit","2026-08-20","passed","2026-08-20","","playwrightPageTests.spec.ts","",""
"","1142","what is next links","firefox","2026-08-20","passed","2026-08-20","","playwrightPageTests.spec.ts","",""
"","24076","American Home Warranty CSS Locator Testing","chromium","2026-08-16","passed","2026-08-16","","mytest.spec.ts","",""
"","955","what is next links","chromium","2026-08-20","passed","2026-08-20","","playwrightPageTests.spec.ts","",""
"","2519","American Home Warranty Testing","chromium","2026-08-16","passed","2026-08-16","","mytest.spec.ts","",""
"","3725","Home Page Get Quote Testing","chromium","2026-08-16","passed","2026-08-16","","mytest.spec.ts","",""
